OrderID,CustomerID,ProductID,Quantity,OrderDate,Status
1,4511,2492,1,17-08-2024,Shipped
2,1668,3298,1,17-08-2024,Delivered
3,2154,2232,2,17-08-2024,Delivered
4,3600,4137,2,17-08-2024,Processing
5,3664,4117,1,17-08-2024,Delivered
6,24,4882,3,17-08-2024,Delivered
7,858,4036,4,17-08-2024,Delivered
8,591,4758,1,17-08-2024,Delivered
9,2699,4688,2,17-08-2024,Processing
10,3225,3377,2,17-08-2024,Delivered
11,2129,1017,5,17-08-2024,Shipped
12,2903,89,3,17-08-2024,Delivered
13,1482,3064,1,17-08-2024,Delivered
14,1097,1460,4,17-08-2024,Shipped
15,3768,4091,1,17-08-2024,Processing
16,239,3999,3,17-08-2024,Cancelled
17,4172,1688,3,17-08-2024,Processing
18,1227,2767,4,17-08-2024,Cancelled
19,1973,2421,1,17-08-2024,Shipped
20,2574,624,5,17-08-2024,Delivered
21,3494,4942,4,17-08-2024,Processing
22,4899,1936,3,17-08-2024,Processing
23,3614,2921,2,17-08-2024,Delivered
24,2219,4693,4,17-08-2024,Cancelled
25,1065,3963,2,17-08-2024,Cancelled
26,357,690,2,17-08-2024,Cancelled
27,423,1619,1,17-08-2024,Processing
28,1288,1947,3,17-08-2024,Cancelled
29,4202,2927,4,17-08-2024,Processing
30,4189,443,4,17-08-2024,Delivered
31,734,3506,2,17-08-2024,Processing
32,764,3618,2,17-08-2024,Delivered
33,452,4747,4,17-08-2024,Cancelled
34,3570,929,5,17-08-2024,Delivered
35,145,3472,3,17-08-2024,Shipped
36,94,2673,4,17-08-2024,Delivered
37,2639,4322,5,17-08-2024,Delivered
38,243,2059,1,17-08-2024,Cancelled
39,1141,4778,2,17-08-2024,Cancelled
40,2908,3352,4,17-08-2024,Cancelled
41,3793,1638,4,17-08-2024,Delivered
42,4895,3642,3,17-08-2024,Processing
43,451,3742,5,17-08-2024,Shipped
44,3955,4952,4,17-08-2024,Processing
45,4145,4089,1,17-08-2024,Delivered
46,4388,3336,3,17-08-2024,Cancelled
47,2011,762,5,17-08-2024,Delivered
48,620,3167,1,17-08-2024,Delivered
49,2688,1024,5,17-08-2024,Cancelled
50,2702,738,5,17-08-2024,Delivered
51,3653,1507,2,17-08-2024,Cancelled
52,2230,1396,3,17-08-2024,Processing
53,4801,4173,1,17-08-2024,Delivered
54,3020,2613,2,17-08-2024,Processing
55,943,2103,2,17-08-2024,Delivered
56,3351,2587,1,17-08-2024,Cancelled
57,3693,528,3,17-08-2024,Delivered
58,4093,730,2,17-08-2024,Cancelled
59,458,2435,4,17-08-2024,Delivered
60,1714,2945,2,17-08-2024,Processing
61,4941,2613,1,17-08-2024,Delivered
62,347,4528,3,17-08-2024,Cancelled
63,1989,2155,5,17-08-2024,Delivered
64,4013,2303,4,17-08-2024,Delivered
65,2482,3502,1,17-08-2024,Processing
66,3793,4155,5,17-08-2024,Delivered
67,3598,4575,5,17-08-2024,Processing
68,2871,1433,3,17-08-2024,Processing
69,3189,3016,4,17-08-2024,Cancelled
70,4990,3427,4,17-08-2024,Cancelled
71,2175,3081,4,17-08-2024,Delivered
72,4661,2786,2,17-08-2024,Processing
73,1671,2246,5,17-08-2024,Delivered
74,2580,3387,4,17-08-2024,Cancelled
75,4069,938,5,17-08-2024,Delivered
76,2288,1103,1,17-08-2024,Shipped
77,2830,100,1,17-08-2024,Shipped
78,3028,3416,1,17-08-2024,Shipped
79,2091,1176,3,17-08-2024,Shipped
80,652,3817,1,17-08-2024,Delivered
81,3888,3737,1,17-08-2024,Shipped
82,886,2067,1,17-08-2024,Delivered
83,4205,2553,5,17-08-2024,Delivered
84,3058,3077,3,17-08-2024,Cancelled
85,4181,2984,5,17-08-2024,Delivered
86,3416,113,4,17-08-2024,Cancelled
87,930,4219,5,17-08-2024,Shipped
88,2629,2462,5,17-08-2024,Delivered
89,978,1780,1,17-08-2024,Delivered
90,3153,98,3,17-08-2024,Processing
91,1164,4282,2,17-08-2024,Cancelled
92,3083,4394,5,17-08-2024,Processing
93,4729,706,1,17-08-2024,Delivered
94,111,148,3,17-08-2024,Delivered
95,4307,1013,2,17-08-2024,Shipped
96,942,3875,1,17-08-2024,Shipped
97,534,4009,3,17-08-2024,Cancelled
98,1636,1867,4,17-08-2024,Processing
99,1654,227,4,17-08-2024,Delivered
100,2667,3558,3,17-08-2024,Delivered
101,1696,2372,3,17-08-2024,Cancelled
102,2975,4892,1,17-08-2024,Delivered
103,70,3116,2,17-08-2024,Shipped
104,4495,1096,3,17-08-2024,Shipped
105,1652,2507,4,17-08-2024,Processing
106,2374,4224,1,17-08-2024,Shipped
107,2406,4984,1,17-08-2024,Processing
108,1723,4680,4,17-08-2024,Cancelled
109,383,1218,2,17-08-2024,Processing
110,637,2880,5,17-08-2024,Cancelled
111,1520,2332,2,17-08-2024,Cancelled
112,2043,375,1,17-08-2024,Processing
113,1471,2035,2,17-08-2024,Delivered
114,1233,2369,3,17-08-2024,Delivered
115,2460,3401,1,17-08-2024,Shipped
116,1896,4349,4,17-08-2024,Processing
117,2598,775,4,17-08-2024,Processing
118,1638,3134,2,17-08-2024,Shipped
119,4443,1992,5,17-08-2024,Processing
120,4838,3726,4,17-08-2024,Delivered
121,1930,1806,5,17-08-2024,Shipped
122,2909,2664,3,17-08-2024,Cancelled
123,2196,1270,5,17-08-2024,Processing
124,974,3282,5,17-08-2024,Delivered
125,1303,1515,3,17-08-2024,Delivered
126,403,496,2,17-08-2024,Processing
127,1812,3003,1,17-08-2024,Shipped
128,4745,2111,5,17-08-2024,Processing
129,1706,4593,4,17-08-2024,Processing
130,2309,2777,5,17-08-2024,Processing
131,969,611,2,17-08-2024,Shipped
132,2393,2593,1,17-08-2024,Cancelled
133,4927,1563,4,17-08-2024,Delivered
134,4734,2403,2,17-08-2024,Processing
135,4378,1138,2,17-08-2024,Shipped
136,1216,1073,3,17-08-2024,Shipped
137,1592,3918,4,17-08-2024,Processing
138,262,429,1,17-08-2024,Shipped
139,3382,4514,2,17-08-2024,Delivered
140,4927,2518,5,17-08-2024,Delivered
141,3259,1808,3,17-08-2024,Delivered
142,731,529,2,17-08-2024,Delivered
143,4252,3000,5,17-08-2024,Delivered
144,2772,3262,3,17-08-2024,Delivered
145,3065,2293,4,17-08-2024,Delivered
146,35,918,1,17-08-2024,Delivered
147,213,964,3,17-08-2024,Delivered
148,3718,1476,3,17-08-2024,Shipped
149,536,3555,4,17-08-2024,Cancelled
150,812,2376,1,17-08-2024,Delivered
151,1602,139,3,17-08-2024,Delivered
152,4343,1573,2,17-08-2024,Shipped
153,3611,3106,4,17-08-2024,Shipped
154,1390,1645,5,17-08-2024,Shipped
155,3081,3546,1,17-08-2024,Processing
156,2717,3389,4,17-08-2024,Processing
157,1998,799,2,17-08-2024,Delivered
158,2895,4944,5,17-08-2024,Processing
159,3441,4528,5,17-08-2024,Processing
160,4734,87,3,17-08-2024,Processing
161,1740,4286,2,17-08-2024,Cancelled
162,1362,4906,5,17-08-2024,Cancelled
163,1628,3999,2,17-08-2024,Processing
164,532,2831,5,17-08-2024,Shipped
165,3799,962,4,17-08-2024,Processing
166,2411,919,1,17-08-2024,Shipped
167,3646,1181,4,17-08-2024,Shipped
168,2162,203,5,17-08-2024,Delivered
169,1417,2744,3,17-08-2024,Shipped
170,2627,1015,5,17-08-2024,Cancelled
171,1414,2199,1,17-08-2024,Shipped
172,276,1025,4,17-08-2024,Processing
173,3343,1412,5,17-08-2024,Processing
174,1007,2266,3,17-08-2024,Delivered
175,2215,4226,2,17-08-2024,Delivered
176,825,2265,5,17-08-2024,Cancelled
177,2988,2420,5,17-08-2024,Processing
178,361,4727,2,17-08-2024,Processing
179,1992,152,4,17-08-2024,Processing
180,193,4066,3,17-08-2024,Delivered
181,3562,4908,1,17-08-2024,Cancelled
182,811,2344,5,17-08-2024,Delivered
183,4902,2688,5,17-08-2024,Shipped
184,1135,1278,4,17-08-2024,Cancelled
185,4655,103,2,17-08-2024,Delivered
186,1662,383,1,17-08-2024,Cancelled
187,3816,787,3,17-08-2024,Delivered
188,3245,1781,3,17-08-2024,Delivered
189,777,1765,1,17-08-2024,Cancelled
190,750,4310,4,17-08-2024,Processing
191,4853,122,4,17-08-2024,Processing
192,3979,4834,4,17-08-2024,Delivered
193,3957,1975,3,17-08-2024,Shipped
194,4141,3646,5,17-08-2024,Cancelled
195,4323,2043,5,17-08-2024,Cancelled
196,962,3199,1,17-08-2024,Cancelled
197,257,4343,3,17-08-2024,Delivered
198,2266,1432,2,17-08-2024,Cancelled
199,981,3136,3,17-08-2024,Processing
200,4001,3983,4,17-08-2024,Delivered
201,3960,1158,3,17-08-2024,Shipped
202,3337,3167,5,17-08-2024,Cancelled
203,2903,2514,4,17-08-2024,Shipped
204,1367,4838,4,17-08-2024,Shipped
205,1779,4411,5,17-08-2024,Processing
206,712,1813,1,17-08-2024,Delivered
207,3034,4456,1,17-08-2024,Processing
208,1940,1251,1,17-08-2024,Cancelled
209,519,3096,1,17-08-2024,Delivered
210,4980,825,5,17-08-2024,Shipped
211,3418,544,5,17-08-2024,Shipped
212,2273,2711,4,17-08-2024,Processing
213,462,3306,3,17-08-2024,Delivered
214,2045,2438,4,17-08-2024,Shipped
215,3293,201,2,17-08-2024,Delivered
216,1504,3864,3,17-08-2024,Processing
217,1193,4377,2,17-08-2024,Delivered
218,2422,1796,2,17-08-2024,Shipped
219,1379,4688,5,17-08-2024,Cancelled
220,550,532,5,17-08-2024,Shipped
221,2256,2671,4,17-08-2024,Processing
222,1877,3367,2,17-08-2024,Delivered
223,1661,2807,5,17-08-2024,Cancelled
224,1589,4679,5,17-08-2024,Delivered
225,3722,1146,1,17-08-2024,Processing
226,236,4564,3,17-08-2024,Shipped
227,1021,971,5,17-08-2024,Processing
228,4350,4688,3,17-08-2024,Shipped
229,1801,1952,5,17-08-2024,Delivered
230,2230,2028,3,17-08-2024,Delivered
231,1354,4636,4,17-08-2024,Processing
232,3263,678,4,17-08-2024,Cancelled
233,114,4759,5,17-08-2024,Delivered
234,4698,2875,2,17-08-2024,Cancelled
235,681,1378,2,17-08-2024,Cancelled
236,4237,4456,3,17-08-2024,Delivered
237,2626,3038,2,17-08-2024,Shipped
238,3526,2650,3,17-08-2024,Delivered
239,4498,3077,1,17-08-2024,Cancelled
240,4339,1130,3,17-08-2024,Processing
241,1796,3814,5,17-08-2024,Shipped
242,4076,1149,2,17-08-2024,Cancelled
243,3806,3173,1,17-08-2024,Shipped
244,2928,4805,1,17-08-2024,Shipped
245,589,3794,5,17-08-2024,Cancelled
246,1848,1025,4,17-08-2024,Delivered
247,4607,2699,4,17-08-2024,Processing
248,3551,4741,5,17-08-2024,Processing
249,1485,4403,4,17-08-2024,Shipped
250,1432,835,2,17-08-2024,Delivered
251,2060,4927,5,17-08-2024,Processing
252,2145,1705,5,17-08-2024,Processing
253,3231,3313,5,17-08-2024,Delivered
254,1819,2936,1,17-08-2024,Shipped
255,4570,946,1,17-08-2024,Shipped
256,4158,3354,3,17-08-2024,Cancelled
257,1702,2960,3,17-08-2024,Cancelled
258,2702,3627,3,17-08-2024,Shipped
259,4632,907,4,17-08-2024,Processing
260,2645,2775,1,17-08-2024,Shipped
261,1757,3386,3,17-08-2024,Shipped
262,1935,4611,3,17-08-2024,Processing
263,151,800,4,17-08-2024,Delivered
264,1060,2504,3,17-08-2024,Delivered
265,388,820,4,17-08-2024,Shipped
266,4767,1453,5,17-08-2024,Shipped
267,3442,4586,1,17-08-2024,Cancelled
268,4000,1945,3,17-08-2024,Cancelled
269,2297,695,5,17-08-2024,Shipped
270,1409,2549,3,17-08-2024,Shipped
